game=../Common/res/lud/board/war/other/Atari Go.lud
START GAME OPTIONS
END GAME OPTIONS
RNG internal state=-67,-79,-94,-41,122,-11,67,-123
Move=[Move:mover=1,from=222,to=222,actions=[Add:type=Vertex,to=222,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=238,to=238,actions=[Add:type=Vertex,to=238,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=116,to=116,actions=[Add:type=Vertex,to=116,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=328,to=328,actions=[Add:type=Vertex,to=328,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=34,to=34,actions=[Add:type=Vertex,to=34,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=3,to=3,actions=[Add:type=Vertex,to=3,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=52,to=52,actions=[Add:type=Vertex,to=52,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=58,to=58,actions=[Add:type=Vertex,to=58,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=132,to=132,actions=[Add:type=Vertex,to=132,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=28,to=28,actions=[Add:type=Vertex,to=28,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=20,to=20,actions=[Add:type=Vertex,to=20,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=94,to=94,actions=[Add:type=Vertex,to=94,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=249,to=249,actions=[Add:type=Vertex,to=249,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=252,to=252,actions=[Add:type=Vertex,to=252,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=38,to=38,actions=[Add:type=Vertex,to=38,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=263,to=263,actions=[Add:type=Vertex,to=263,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=325,to=325,actions=[Add:type=Vertex,to=325,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=221,to=221,actions=[Add:type=Vertex,to=221,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=227,to=227,actions=[Add:type=Vertex,to=227,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=284,to=284,actions=[Add:type=Vertex,to=284,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=332,to=332,actions=[Add:type=Vertex,to=332,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=334,to=334,actions=[Add:type=Vertex,to=334,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=101,to=101,actions=[Add:type=Vertex,to=101,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=240,to=240,actions=[Add:type=Vertex,to=240,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=348,to=348,actions=[Add:type=Vertex,to=348,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=10,to=10,actions=[Add:type=Vertex,to=10,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=277,to=277,actions=[Add:type=Vertex,to=277,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=74,to=74,actions=[Add:type=Vertex,to=74,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=241,to=241,actions=[Add:type=Vertex,to=241,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=107,to=107,actions=[Add:type=Vertex,to=107,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=87,to=87,actions=[Add:type=Vertex,to=87,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=205,to=205,actions=[Add:type=Vertex,to=205,level=0,what=2,decision=true]]
