game=../Common/res/lud/board/space/line/Keryo-Pente.lud
START GAME OPTIONS
END GAME OPTIONS
RNG internal state=9,-38,-106,92,1,90,39,15
Move=[Move:mover=0,actions=[SetScore:player=1,score=0]]
Move=[Move:mover=0,actions=[SetScore:player=2,score=0]]
Move=[Move:mover=1,from=180,to=180,actions=[Add:type=Vertex,to=180,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=203,to=203,actions=[Add:type=Vertex,to=203,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=198,to=198,actions=[Add:type=Vertex,to=198,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=8,to=8,actions=[Add:type=Vertex,to=8,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=188,to=188,actions=[Add:type=Vertex,to=188,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=323,to=323,actions=[Add:type=Vertex,to=323,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=227,to=227,actions=[Add:type=Vertex,to=227,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=155,to=155,actions=[Add:type=Vertex,to=155,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=138,to=138,actions=[Add:type=Vertex,to=138,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=297,to=297,actions=[Add:type=Vertex,to=297,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=74,to=74,actions=[Add:type=Vertex,to=74,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=50,to=50,actions=[Add:type=Vertex,to=50,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=360,to=360,actions=[Add:type=Vertex,to=360,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=19,to=19,actions=[Add:type=Vertex,to=19,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=293,to=293,actions=[Add:type=Vertex,to=293,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=81,to=81,actions=[Add:type=Vertex,to=81,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=123,to=123,actions=[Add:type=Vertex,to=123,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=59,to=59,actions=[Add:type=Vertex,to=59,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=120,to=120,actions=[Add:type=Vertex,to=120,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=235,to=235,actions=[Add:type=Vertex,to=235,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=35,to=35,actions=[Add:type=Vertex,to=35,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=13,to=13,actions=[Add:type=Vertex,to=13,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=141,to=141,actions=[Add:type=Vertex,to=141,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=163,to=163,actions=[Add:type=Vertex,to=163,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=174,to=174,actions=[Add:type=Vertex,to=174,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=246,to=246,actions=[Add:type=Vertex,to=246,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=306,to=306,actions=[Add:type=Vertex,to=306,level=0,what=1,decision=true]]
