game=../Common/res/lud/board/space/line/Keryo-Pente.lud
START GAME OPTIONS
END GAME OPTIONS
RNG internal state=-64,50,-18,23,53,5,-49,-32
Move=[Move:mover=0,actions=[SetScore:player=1,score=0]]
Move=[Move:mover=0,actions=[SetScore:player=2,score=0]]
Move=[Move:mover=1,from=180,to=180,actions=[Add:type=Vertex,to=180,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=337,to=337,actions=[Add:type=Vertex,to=337,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=64,to=64,actions=[Add:type=Vertex,to=64,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=312,to=312,actions=[Add:type=Vertex,to=312,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=98,to=98,actions=[Add:type=Vertex,to=98,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=120,to=120,actions=[Add:type=Vertex,to=120,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=193,to=193,actions=[Add:type=Vertex,to=193,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=336,to=336,actions=[Add:type=Vertex,to=336,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=81,to=81,actions=[Add:type=Vertex,to=81,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=5,to=5,actions=[Add:type=Vertex,to=5,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=216,to=216,actions=[Add:type=Vertex,to=216,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=14,to=14,actions=[Add:type=Vertex,to=14,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=264,to=264,actions=[Add:type=Vertex,to=264,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=194,to=194,actions=[Add:type=Vertex,to=194,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=38,to=38,actions=[Add:type=Vertex,to=38,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=215,to=215,actions=[Add:type=Vertex,to=215,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=322,to=322,actions=[Add:type=Vertex,to=322,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=72,to=72,actions=[Add:type=Vertex,to=72,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=59,to=59,actions=[Add:type=Vertex,to=59,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=11,to=11,actions=[Add:type=Vertex,to=11,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=12,to=12,actions=[Add:type=Vertex,to=12,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=339,to=339,actions=[Add:type=Vertex,to=339,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=175,to=175,actions=[Add:type=Vertex,to=175,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=188,to=188,actions=[Add:type=Vertex,to=188,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=330,to=330,actions=[Add:type=Vertex,to=330,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=60,to=60,actions=[Add:type=Vertex,to=60,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=27,to=27,actions=[Add:type=Vertex,to=27,level=0,what=1,decision=true]]
